Name	project119
Expected duration	155
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	66.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	18.1	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	21.1	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	24.1	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	27.1	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	30.1	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	33.1	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	42.1	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	45.1	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	48.1	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	51.1	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	54.1	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	57.1	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	60.1	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	63.2	0.0	0.0	0.0	3.7	0.0	0.0
26	100.0	66.2	0.0	0.0	0.0	7.4	0.0	0.0
27	100.0	69.2	0.0	0.0	0.0	11.1	0.0	0.0
28	100.0	72.2	0.0	0.0	0.0	14.7	0.0	0.0
29	100.0	75.2	0.0	0.0	0.0	18.4	0.0	0.0
30	100.0	78.2	0.0	0.0	0.0	22.1	0.0	0.0
31	100.0	81.3	0.0	0.0	0.0	25.8	0.0	0.0
32	100.0	84.3	0.0	0.0	0.0	29.4	0.0	0.0
33	100.0	87.3	0.0	0.0	0.0	33.1	0.0	0.0
34	100.0	90.3	0.0	0.0	0.0	36.8	0.0	0.0
35	100.0	93.3	0.0	0.0	0.0	40.4	0.0	0.0
36	100.0	96.3	0.0	0.0	0.0	44.1	0.0	0.0
37	100.0	99.3	0.0	0.0	0.0	47.8	0.0	0.0
38	100.0	100.0	0.0	0.0	0.0	51.5	0.0	0.0
39	100.0	100.0	0.0	0.0	0.0	55.1	1.9	0.0
40	100.0	100.0	0.0	0.0	0.0	58.8	3.9	0.0
41	100.0	100.0	0.0	0.0	0.0	62.5	5.8	0.0
