Name	project035
Expected duration	204
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	9.3	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	16.3	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	18.6	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	20.9	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	23.3	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	25.6	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	27.9	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	30.2	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	32.6	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	37.2	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	39.5	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	41.9	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	44.2	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	46.5	0.0	0.0	0.0	0.0	0.0	0.0
26	100.0	48.8	0.0	0.0	0.0	0.0	0.0	0.0
27	100.0	51.2	0.0	0.0	0.0	0.0	0.0	0.0
28	100.0	53.5	0.0	0.0	0.0	0.0	0.0	0.0
29	100.0	55.8	0.0	0.0	0.0	0.0	0.0	0.0
30	100.0	58.1	0.0	0.0	0.0	0.0	0.0	0.0
31	100.0	60.5	0.0	0.0	0.0	0.0	0.0	0.0
32	100.0	62.8	0.0	0.0	0.0	2.9	0.0	0.0
33	100.0	65.1	0.0	0.0	0.0	5.7	0.0	0.0
34	100.0	67.4	0.0	0.0	0.0	8.6	0.0	0.0
35	100.0	69.8	0.0	0.0	0.0	11.4	0.0	0.0
36	100.0	72.1	0.0	0.0	0.0	14.3	0.0	0.0
37	100.0	74.4	0.0	0.0	0.0	17.1	0.0	0.0
38	100.0	76.7	0.0	0.0	0.0	20.0	0.0	0.0
39	100.0	79.1	0.0	0.0	0.0	22.9	0.0	0.0
40	100.0	81.4	0.0	0.0	0.0	25.7	0.0	0.0
41	100.0	83.7	0.0	0.0	0.0	28.6	0.0	0.0
42	100.0	86.0	0.0	0.0	0.0	31.4	0.0	0.0
43	100.0	88.4	0.0	0.0	0.0	34.3	0.0	0.0
44	100.0	90.7	0.0	0.0	0.0	37.1	0.0	0.0
45	100.0	93.0	0.0	0.0	0.0	40.0	0.0	0.0
46	100.0	95.3	0.0	0.0	0.0	42.9	0.0	0.0
47	100.0	97.7	0.0	0.0	0.0	45.7	0.0	0.0
48	100.0	100.0	0.0	0.0	0.0	48.6	0.0	0.0
49	100.0	100.0	0.0	0.0	0.0	51.4	0.0	0.0
50	100.0	100.0	0.0	0.0	0.0	54.3	1.5	0.0
51	100.0	100.0	0.0	0.0	0.0	57.1	3.0	0.0
52	100.0	100.0	0.0	0.0	0.0	60.0	4.5	0.0
