Name	project121
Expected duration	171
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	33.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	66.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	99.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	8.3	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	11.1	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	13.9	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	16.6	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	19.4	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	27.7	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	30.5	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	33.3	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	41.6	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	44.4	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	47.2	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	49.9	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	52.7	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	55.5	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	58.3	0.0	0.0	0.0	0.0	0.0	0.0
26	100.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
27	100.0	63.8	0.0	0.0	0.0	3.4	0.0	0.0
28	100.0	66.6	0.0	0.0	0.0	6.9	0.0	0.0
29	100.0	69.3	0.0	0.0	0.0	10.3	0.0	0.0
30	100.0	72.1	0.0	0.0	0.0	13.8	0.0	0.0
31	100.0	74.9	0.0	0.0	0.0	17.2	0.0	0.0
32	100.0	77.7	0.0	0.0	0.0	20.7	0.0	0.0
33	100.0	80.4	0.0	0.0	0.0	24.1	0.0	0.0
34	100.0	83.2	0.0	0.0	0.0	27.6	0.0	0.0
35	100.0	86.0	0.0	0.0	0.0	31.0	0.0	0.0
36	100.0	88.8	0.0	0.0	0.0	34.4	0.0	0.0
37	100.0	91.5	0.0	0.0	0.0	37.9	0.0	0.0
38	100.0	94.3	0.0	0.0	0.0	41.3	0.0	0.0
39	100.0	97.1	0.0	0.0	0.0	44.8	0.0	0.0
40	100.0	99.9	0.0	0.0	0.0	48.2	0.0	0.0
41	100.0	100.0	0.0	0.0	0.0	51.7	0.0	0.0
42	100.0	100.0	0.0	0.0	0.0	55.1	1.8	0.0
43	100.0	100.0	0.0	0.0	0.0	58.5	3.6	0.0
44	100.0	100.0	0.0	0.0	0.0	62.0	5.3	0.0
45	100.0	100.0	0.0	0.0	0.0	65.4	7.1	0.0
46	100.0	100.0	0.0	0.0	0.0	68.9	8.9	0.0
47	100.0	100.0	0.0	0.0	0.0	72.3	10.7	0.0
48	100.0	100.0	0.0	0.0	0.0	75.8	12.5	0.0
49	100.0	100.0	0.0	0.0	0.0	79.2	14.3	0.0
50	100.0	100.0	0.0	0.0	0.0	82.6	16.0	0.0
51	100.0	100.0	0.0	0.0	0.0	86.1	17.8	0.0
52	100.0	100.0	0.0	0.0	0.0	89.5	19.6	0.0
53	100.0	100.0	0.0	0.0	0.0	93.0	21.4	0.0
54	100.0	100.0	0.0	0.0	0.0	96.4	23.2	0.0
55	100.0	100.0	0.0	0.0	0.0	99.9	25.0	0.0
56	100.0	100.0	0.0	0.0	0.0	100.0	26.7	0.0
57	100.0	100.0	0.0	0.0	0.0	100.0	28.5	0.0
58	100.0	100.0	0.0	0.0	0.0	100.0	30.3	0.0
59	100.0	100.0	0.0	1.6	0.0	100.0	32.1	0.0
60	100.0	100.0	0.0	3.2	0.0	100.0	33.9	0.0
61	100.0	100.0	0.0	4.8	0.0	100.0	35.7	0.0
62	100.0	100.0	0.0	6.3	0.0	100.0	37.4	0.0
