Name	project043
Expected duration	155
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	66.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	99.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	45.1	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	51.1	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	54.1	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	57.1	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	60.1	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	63.1	0.0	0.0	0.0	3.7	0.0	0.0
26	100.0	66.1	0.0	0.0	0.0	7.3	0.0	0.0
27	100.0	69.1	0.0	0.0	0.0	11.0	0.0	0.0
28	100.0	72.1	0.0	0.0	0.0	14.7	0.0	0.0
29	100.0	75.1	0.0	0.0	0.0	18.3	0.0	0.0
30	100.0	78.1	0.0	0.0	0.0	22.0	0.0	0.0
31	100.0	81.1	0.0	0.0	0.0	25.7	0.0	0.0
32	100.0	84.2	0.0	0.0	0.0	29.3	0.0	0.0
33	100.0	87.1	0.0	0.0	0.0	33.0	0.0	0.0
34	100.0	90.1	0.0	0.0	0.0	36.7	0.0	0.0
35	100.0	93.2	0.0	0.0	0.0	40.3	0.0	0.0
36	100.0	96.2	0.0	0.0	0.0	44.0	0.0	0.0
37	100.0	99.2	0.0	0.0	0.0	47.7	0.0	0.0
38	100.0	100.0	0.0	0.0	0.0	51.3	0.0	0.0
39	100.0	100.0	0.0	0.0	0.0	55.0	1.9	0.0
40	100.0	100.0	0.0	0.0	0.0	58.7	3.9	0.0
41	100.0	100.0	0.0	0.0	0.0	62.4	5.8	0.0
