Name	project057
Expected duration	169
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	33.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	66.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	8.3	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	11.1	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	13.9	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	16.6	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	19.4	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	22.2	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	27.7	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	30.5	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	33.3	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	41.6	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	44.4	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	47.1	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	49.9	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	52.7	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	55.4	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	58.2	0.0	0.0	0.0	0.0	0.0	0.0
26	100.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
27	100.0	63.7	0.0	0.0	0.0	3.4	0.0	0.0
28	100.0	66.5	0.0	0.0	0.0	6.9	0.0	0.0
29	100.0	69.3	0.0	0.0	0.0	10.3	0.0	0.0
30	100.0	72.1	0.0	0.0	0.0	13.8	0.0	0.0
31	100.0	74.8	0.0	0.0	0.0	17.2	0.0	0.0
32	100.0	77.6	0.0	0.0	0.0	20.7	0.0	0.0
33	100.0	80.4	0.0	0.0	0.0	24.1	0.0	0.0
34	100.0	83.1	0.0	0.0	0.0	27.5	0.0	0.0
35	100.0	85.9	0.0	0.0	0.0	31.0	0.0	0.0
36	100.0	88.7	0.0	0.0	0.0	34.4	0.0	0.0
37	100.0	91.4	0.0	0.0	0.0	37.9	0.0	0.0
38	100.0	94.2	0.0	0.0	0.0	41.3	0.0	0.0
39	100.0	97.0	0.0	0.0	0.0	44.7	0.0	0.0
40	100.0	99.8	0.0	0.0	0.0	48.2	0.0	0.0
41	100.0	100.0	0.0	0.0	0.0	51.6	0.0	0.0
42	100.0	100.0	0.0	0.0	0.0	55.1	1.8	0.0
43	100.0	100.0	0.0	0.0	0.0	58.5	3.6	0.0
44	100.0	100.0	0.0	0.0	0.0	61.9	5.4	0.0
45	100.0	100.0	0.0	0.0	0.0	65.4	7.3	0.0
46	100.0	100.0	0.0	0.0	0.0	68.8	9.1	0.0
47	100.0	100.0	0.0	0.0	0.0	72.3	10.9	0.0
48	100.0	100.0	0.0	0.0	0.0	75.7	12.7	0.0
49	100.0	100.0	0.0	0.0	0.0	79.1	14.5	0.0
50	100.0	100.0	0.0	0.0	0.0	82.6	16.3	0.0
51	100.0	100.0	0.0	0.0	0.0	86.0	18.1	0.0
52	100.0	100.0	0.0	0.0	0.0	89.5	19.9	0.0
53	100.0	100.0	0.0	0.0	0.0	92.9	21.8	0.0
54	100.0	100.0	0.0	0.0	0.0	96.3	23.6	0.0
55	100.0	100.0	0.0	0.0	0.0	99.8	25.4	0.0
56	100.0	100.0	0.0	0.0	0.0	100.0	27.2	0.0
57	100.0	100.0	0.0	0.0	0.0	100.0	29.0	0.0
58	100.0	100.0	0.0	0.0	0.0	100.0	30.8	0.0
59	100.0	100.0	0.0	1.6	0.0	100.0	32.6	0.0
60	100.0	100.0	0.0	3.2	0.0	100.0	34.5	0.0
61	100.0	100.0	0.0	4.8	0.0	100.0	36.3	0.0
62	100.0	100.0	0.0	6.4	0.0	100.0	38.1	0.0
63	100.0	100.0	0.0	8.0	0.0	100.0	39.9	0.0
64	100.0	100.0	0.0	9.7	0.0	100.0	41.7	0.0
65	100.0	100.0	0.0	11.3	0.0	100.0	43.5	0.0
66	100.0	100.0	0.0	12.9	0.0	100.0	45.3	0.0
67	100.0	100.0	0.0	14.5	0.0	100.0	47.2	0.0
68	100.0	100.0	0.0	16.1	0.0	100.0	49.0	0.0
69	100.0	100.0	0.0	17.7	0.0	100.0	50.8	0.0
70	100.0	100.0	0.0	19.3	0.0	100.0	52.6	0.0
71	100.0	100.0	0.0	20.9	0.0	100.0	54.4	0.0
72	100.0	100.0	0.0	22.5	3.4	100.0	56.2	0.0
73	100.0	100.0	0.0	24.1	6.9	100.0	58.0	0.0
74	100.0	100.0	0.0	25.7	10.3	100.0	59.8	0.0
75	100.0	100.0	0.0	27.3	13.8	100.0	61.7	0.0
76	100.0	100.0	0.0	29.0	17.2	100.0	63.5	0.0
77	100.0	100.0	0.0	30.6	20.6	100.0	65.3	0.0
78	100.0	100.0	0.0	32.2	24.1	100.0	67.1	0.0
79	100.0	100.0	0.0	33.8	27.5	100.0	68.9	0.0
80	100.0	100.0	0.0	35.4	31.0	100.0	70.7	0.0
81	100.0	100.0	0.0	37.0	34.4	100.0	72.5	0.0
82	100.0	100.0	0.0	38.6	37.8	100.0	74.4	0.0
83	100.0	100.0	0.0	40.2	41.3	100.0	76.2	0.0
84	100.0	100.0	0.0	41.8	44.7	100.0	78.0	0.0
85	100.0	100.0	0.0	43.4	48.2	100.0	79.8	0.0
86	100.0	100.0	0.0	45.0	51.6	100.0	81.6	0.0
87	100.0	100.0	0.0	46.7	55.0	100.0	83.4	0.0
88	100.0	100.0	0.0	48.3	58.5	100.0	85.2	0.0
89	100.0	100.0	0.0	49.9	61.9	100.0	87.1	0.0
90	100.0	100.0	0.0	51.5	65.4	100.0	88.9	0.0
91	100.0	100.0	0.0	53.1	68.8	100.0	90.7	0.0
92	100.0	100.0	0.0	54.7	72.2	100.0	92.5	0.0
93	100.0	100.0	0.0	56.3	75.7	100.0	94.3	0.0
94	100.0	100.0	0.0	57.9	79.1	100.0	96.1	0.0
95	100.0	100.0	0.0	59.5	82.6	100.0	97.9	0.0
96	100.0	100.0	0.0	61.1	86.0	100.0	99.8	0.0
97	100.0	100.0	0.0	62.7	89.5	100.0	100.0	0.0
98	100.0	100.0	0.0	64.3	92.9	100.0	100.0	0.0
99	100.0	100.0	0.0	66.0	96.3	100.0	100.0	0.0
100	100.0	100.0	0.0	67.6	99.8	100.0	100.0	0.0
101	100.0	100.0	0.0	69.2	100.0	100.0	100.0	0.0
102	100.0	100.0	0.0	70.8	100.0	100.0	100.0	0.0
103	100.0	100.0	0.0	72.4	100.0	100.0	100.0	0.0
104	100.0	100.0	0.0	74.0	100.0	100.0	100.0	0.0
105	100.0	100.0	0.0	75.6	100.0	100.0	100.0	0.0
106	100.0	100.0	0.0	77.2	100.0	100.0	100.0	0.0
107	100.0	100.0	0.0	78.8	100.0	100.0	100.0	0.0
108	100.0	100.0	0.0	80.4	100.0	100.0	100.0	0.0
109	100.0	100.0	0.0	82.0	100.0	100.0	100.0	0.0
110	100.0	100.0	0.0	83.7	100.0	100.0	100.0	0.0
111	100.0	100.0	0.0	85.3	100.0	100.0	100.0	0.0
112	100.0	100.0	0.0	86.9	100.0	100.0	100.0	0.0
113	100.0	100.0	0.0	88.5	100.0	100.0	100.0	0.0
114	100.0	100.0	0.0	90.1	100.0	100.0	100.0	0.0
115	100.0	100.0	0.0	91.7	100.0	100.0	100.0	0.0
116	100.0	100.0	0.0	93.3	100.0	100.0	100.0	0.0
117	100.0	100.0	0.0	94.9	100.0	100.0	100.0	0.0
118	100.0	100.0	0.0	96.5	100.0	100.0	100.0	0.0
119	100.0	100.0	0.0	98.1	100.0	100.0	100.0	0.0
120	100.0	100.0	0.0	99.7	100.0	100.0	100.0	0.0
121	100.0	100.0	0.0	100.0	100.0	100.0	100.0	0.0
122	100.0	100.0	3.2	100.0	100.0	100.0	100.0	0.0
123	100.0	100.0	6.4	100.0	100.0	100.0	100.0	0.0
124	100.0	100.0	9.6	100.0	100.0	100.0	100.0	0.0
125	100.0	100.0	12.9	100.0	100.0	100.0	100.0	0.0
126	100.0	100.0	16.1	100.0	100.0	100.0	100.0	0.0
127	100.0	100.0	19.3	100.0	100.0	100.0	100.0	0.0
128	100.0	100.0	22.5	100.0	100.0	100.0	100.0	0.0
129	100.0	100.0	25.7	100.0	100.0	100.0	100.0	0.0
130	100.0	100.0	29.0	100.0	100.0	100.0	100.0	0.0
131	100.0	100.0	32.2	100.0	100.0	100.0	100.0	0.0
132	100.0	100.0	35.4	100.0	100.0	100.0	100.0	2.4
133	100.0	100.0	38.6	100.0	100.0	100.0	100.0	4.7
134	100.0	100.0	41.8	100.0	100.0	100.0	100.0	7.1
135	100.0	100.0	45.0	100.0	100.0	100.0	100.0	9.5
136	100.0	100.0	48.3	100.0	100.0	100.0	100.0	11.9
137	100.0	100.0	51.5	100.0	100.0	100.0	100.0	14.2
138	100.0	100.0	54.7	100.0	100.0	100.0	100.0	16.6
139	100.0	100.0	57.9	100.0	100.0	100.0	100.0	19.0
140	100.0	100.0	61.1	100.0	100.0	100.0	100.0	21.4
141	100.0	100.0	64.3	100.0	100.0	100.0	100.0	23.8
142	100.0	100.0	67.6	100.0	100.0	100.0	100.0	26.1
143	100.0	100.0	70.8	100.0	100.0	100.0	100.0	28.5
144	100.0	100.0	74.0	100.0	100.0	100.0	100.0	30.9
145	100.0	100.0	77.2	100.0	100.0	100.0	100.0	33.3
146	100.0	100.0	80.4	100.0	100.0	100.0	100.0	35.6
147	100.0	100.0	83.7	100.0	100.0	100.0	100.0	38.0
148	100.0	100.0	86.9	100.0	100.0	100.0	100.0	40.4
149	100.0	100.0	90.1	100.0	100.0	100.0	100.0	42.8
150	100.0	100.0	93.3	100.0	100.0	100.0	100.0	45.1
151	100.0	100.0	96.5	100.0	100.0	100.0	100.0	47.5
152	100.0	100.0	99.7	100.0	100.0	100.0	100.0	49.9
153	100.0	100.0	100.0	100.0	100.0	100.0	100.0	52.3
154	100.0	100.0	100.0	100.0	100.0	100.0	100.0	54.6
155	100.0	100.0	100.0	100.0	100.0	100.0	100.0	57.0
156	100.0	100.0	100.0	100.0	100.0	100.0	100.0	59.4
157	100.0	100.0	100.0	100.0	100.0	100.0	100.0	61.8
158	100.0	100.0	100.0	100.0	100.0	100.0	100.0	64.1
159	100.0	100.0	100.0	100.0	100.0	100.0	100.0	66.5
160	100.0	100.0	100.0	100.0	100.0	100.0	100.0	68.9
161	100.0	100.0	100.0	100.0	100.0	100.0	100.0	71.3
162	100.0	100.0	100.0	100.0	100.0	100.0	100.0	73.6
163	100.0	100.0	100.0	100.0	100.0	100.0	100.0	76.0
164	100.0	100.0	100.0	100.0	100.0	100.0	100.0	78.4
165	100.0	100.0	100.0	100.0	100.0	100.0	100.0	80.8
166	100.0	100.0	100.0	100.0	100.0	100.0	100.0	83.1
167	100.0	100.0	100.0	100.0	100.0	100.0	100.0	85.5
168	100.0	100.0	100.0	100.0	100.0	100.0	100.0	87.9
169	100.0	100.0	100.0	100.0	100.0	100.0	100.0	90.3
170	100.0	100.0	100.0	100.0	100.0	100.0	100.0	92.6
171	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.0
172	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.4
