Name	project109
Expected duration	179
Week	Foundation	Framing	CurtainWall	HVAC	FireFighting	Elevator	Electrical	ArchitecturalFinishing
1	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	100.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0
7	100.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0
8	100.0	7.9	0.0	0.0	0.0	0.0	0.0	0.0
9	100.0	10.5	0.0	0.0	0.0	0.0	0.0	0.0
10	100.0	13.2	0.0	0.0	0.0	0.0	0.0	0.0
11	100.0	15.8	0.0	0.0	0.0	0.0	0.0	0.0
12	100.0	18.4	0.0	0.0	0.0	0.0	0.0	0.0
13	100.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
14	100.0	23.7	0.0	0.0	0.0	0.0	0.0	0.0
15	100.0	26.3	0.0	0.0	0.0	0.0	0.0	0.0
16	100.0	28.9	0.0	0.0	0.0	0.0	0.0	0.0
17	100.0	31.6	0.0	0.0	0.0	0.0	0.0	0.0
18	100.0	34.2	0.0	0.0	0.0	0.0	0.0	0.0
19	100.0	36.8	0.0	0.0	0.0	0.0	0.0	0.0
20	100.0	39.5	0.0	0.0	0.0	0.0	0.0	0.0
21	100.0	42.1	0.0	0.0	0.0	0.0	0.0	0.0
22	100.0	44.7	0.0	0.0	0.0	0.0	0.0	0.0
23	100.0	47.4	0.0	0.0	0.0	0.0	0.0	0.0
24	100.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
25	100.0	52.6	0.0	0.0	0.0	0.0	0.0	0.0
26	100.0	55.3	0.0	0.0	0.0	0.0	0.0	0.0
27	100.0	57.9	0.0	0.0	0.0	0.0	0.0	0.0
28	100.0	60.5	0.0	0.0	0.0	0.0	0.0	0.0
29	100.0	63.1	0.0	0.0	0.0	3.2	0.0	0.0
30	100.0	65.8	0.0	0.0	0.0	6.5	0.0	0.0
31	100.0	68.4	0.0	0.0	0.0	9.7	0.0	0.0
32	100.0	71.0	0.0	0.0	0.0	12.9	0.0	0.0
33	100.0	73.7	0.0	0.0	0.0	16.1	0.0	0.0
34	100.0	76.3	0.0	0.0	0.0	19.4	0.0	0.0
35	100.0	78.9	0.0	0.0	0.0	22.6	0.0	0.0
36	100.0	81.6	0.0	0.0	0.0	25.8	0.0	0.0
37	100.0	84.2	0.0	0.0	0.0	29.0	0.0	0.0
38	100.0	86.8	0.0	0.0	0.0	32.3	0.0	0.0
39	100.0	89.5	0.0	0.0	0.0	35.5	0.0	0.0
40	100.0	92.1	0.0	0.0	0.0	38.7	0.0	0.0
41	100.0	94.7	0.0	0.0	0.0	41.9	0.0	0.0
42	100.0	97.4	0.0	0.0	0.0	45.2	0.0	0.0
43	100.0	100.0	0.0	0.0	0.0	48.4	0.0	0.0
44	100.0	100.0	0.0	0.0	0.0	51.6	0.0	0.0
45	100.0	100.0	0.0	0.0	0.0	54.8	1.7	0.0
46	100.0	100.0	0.0	0.0	0.0	58.1	3.4	0.0
47	100.0	100.0	0.0	0.0	0.0	61.3	5.1	0.0
48	100.0	100.0	0.0	0.0	0.0	64.5	6.8	0.0
49	100.0	100.0	0.0	0.0	0.0	67.7	8.5	0.0
50	100.0	100.0	0.0	0.0	0.0	71.0	10.2	0.0
51	100.0	100.0	0.0	0.0	0.0	74.2	11.9	0.0
52	100.0	100.0	0.0	0.0	0.0	77.4	13.6	0.0
